[29-May-2008 16:19:48] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/schiffe.php on line 133
[29-May-2008 16:29:08] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/schiffe.php on line 133
[29-May-2008 16:30:26] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/npcalt.php on line 9
[29-May-2008 16:35:40] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/planet.php on line 17
[29-May-2008 16:35:49] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/planet.php on line 17
[29-May-2008 16:35:54] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/schiffe.php on line 133
[29-May-2008 16:36:03] PHP Warning:  Missing argument 1 for konto::konto(), called in /www/htdocs/w0066545/game/sebay.php on line 7 and defined in /www/htdocs/w0066545/game/connect.php on line 431
[29-May-2008 16:36:03] PHP Fatal error:  Call to undefined method konto::getData() in /www/htdocs/w0066545/game/sebay.php on line 7
[29-May-2008 16:43:27] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/planet.php on line 17
[29-May-2008 16:50:39] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/schiffe.php on line 158
[29-May-2008 16:50:40] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/schiffe.php on line 158
[29-May-2008 16:50:41] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/schiffe.php on line 158
[29-May-2008 16:50:41] PHP Warning:  session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /www/htdocs/w0066545/game/login.php:26) in /www/htdocs/w0066545/game/head.php on line 2
[29-May-2008 16:50:51] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 16:50:55] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 16:51:00] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 16:51:55] PHP Warning:  Missing argument 1 for konto::konto(), called in /www/htdocs/w0066545/game/sebay.php on line 7 and defined in /www/htdocs/w0066545/game/connect.php on line 431
[29-May-2008 16:51:55] PHP Fatal error:  Call to undefined method konto::getData() in /www/htdocs/w0066545/game/sebay.php on line 7
[29-May-2008 17:00:51] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/npcalt.php on line 9
[29-May-2008 17:02:56] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/planetlog.php on line 10
[29-May-2008 17:30:26] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/npcalt.php on line 9
[29-May-2008 17:33:28] PHP Warning:  Missing argument 1 for planetfeld::planetfeld(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 17:33:28] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 17:35:15] PHP Warning:  Missing argument 1 for konto::konto(), called in /www/htdocs/w0066545/game/sebay.php on line 7 and defined in /www/htdocs/w0066545/game/connect.php on line 431
[29-May-2008 17:35:15] PHP Fatal error:  Call to undefined method konto::getData() in /www/htdocs/w0066545/game/sebay.php on line 7
[29-May-2008 17:35:25] PHP Warning:  Missing argument 1 for konto::konto(), called in /www/htdocs/w0066545/game/sebay.php on line 7 and defined in /www/htdocs/w0066545/game/connect.php on line 431
[29-May-2008 17:35:25] PHP Fatal error:  Call to undefined method konto::getData() in /www/htdocs/w0066545/game/sebay.php on line 7
[29-May-2008 17:35:35] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 17:35:46] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 17:36:35] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 17:36:39] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 17:36:46] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 17:37:46] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/beamto.php on line 35
[29-May-2008 17:37:55] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/beamfrom.php on line 28
[29-May-2008 17:38:02] PHP Warning:  Missing argument 1 for planetfeld::planetfeld(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 17:38:02] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 17:39:35] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 17:45:03] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 17:47:02] PHP Warning:  Missing argument 1 for planetfeld::planetfeld(), called in /www/htdocs/w0066545/game/destroy.php on line 34 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 17:47:02] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/destroy.php on line 35
[29-May-2008 17:47:15] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 17:47:39] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/beamto.php on line 35
[29-May-2008 17:47:47] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/beamfrom.php on line 28
[29-May-2008 17:47:54] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 17:54:50] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 17:58:12] PHP Warning:  Missing argument 1 for konto::konto(), called in /www/htdocs/w0066545/game/konto.php on line 21 and defined in /www/htdocs/w0066545/game/connect.php on line 431
[29-May-2008 17:58:12] PHP Fatal error:  Call to undefined method konto::getData() in /www/htdocs/w0066545/game/konto.php on line 22
[29-May-2008 17:58:18] PHP Warning:  Missing argument 1 for konto::konto(), called in /www/htdocs/w0066545/game/sebay.php on line 7 and defined in /www/htdocs/w0066545/game/connect.php on line 431
[29-May-2008 17:58:18] PHP Fatal error:  Call to undefined method konto::getData() in /www/htdocs/w0066545/game/sebay.php on line 7
[29-May-2008 17:59:22] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 18:00:54] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/npcalt.php on line 9
[29-May-2008 18:01:26] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/build.php on line 30
[29-May-2008 18:03:00] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/tick.php on line 85
[29-May-2008 18:03:08] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/planetlog.php on line 10
[29-May-2008 18:13:06] PHP Warning:  Missing argument 1 for planetfeld::planetfeld(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:13:06] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:17:27] PHP Fatal error:  Class 'schiffgeneral' not found in /www/htdocs/w0066545/game/createship.php on line 42
[29-May-2008 18:18:27] PHP Parse error:  syntax error, unexpected $end in /www/htdocs/w0066545/game/connect.php on line 32
[29-May-2008 18:18:34] PHP Parse error:  syntax error, unexpected $end in /www/htdocs/w0066545/game/connect.php on line 268
[29-May-2008 18:18:36] PHP Parse error:  syntax error, unexpected T_STRING, expecting T_FUNCTION in /www/htdocs/w0066545/game/connect.php on line 424
[29-May-2008 18:18:53] PHP Fatal error:  Call to undefined method forschungsklasse::getData() in /www/htdocs/w0066545/game/createship.php on line 48
[29-May-2008 18:22:10] PHP Parse error:  syntax error, unexpected $end in /www/htdocs/w0066545/game/pruefetext.php on line 238
[29-May-2008 18:24:32] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
[29-May-2008 18:24:32] PHP Fatal error:  Call to undefined method planetfeld::getData() in /www/htdocs/w0066545/game/best.php on line 25
[29-May-2008 18:24:57] PHP Warning:  Missing argument 1 for planetfeld::__construct(), called in /www/htdocs/w0066545/game/best.php on line 25 and defined in /www/htdocs/w0066545/game/connect.php on line 346
